uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,white,black,hispanic,asian,american_indian_alaska_native,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,party,gfi,state_pop
80,3.70E+11,Orange High School,3703480,Orange County Schools,8/30/2006,2006-2007,2006,1:00 PM,Wednesday,Hillsborough,North Carolina,public,1150,0,2,2,indiscriminate,19,m,h,former student,0,unknown,776,290,55,6,3,0,"9 mm rifle, a Mossburg 12-gauge sawed-off shotgun",unknown,36.09233,-79.09337,66.7,9,12,276,Orange County,37,37135,41,rep,32,10701022
81,4.82E+11,South Hills High School,4819700,Fort Worth ISD,9/8/2006,2006-2007,2006,1:20 PM,Friday,Fort Worth,Texas,public,1417,0,1,1,targeted,0,m,unknown,resource officer,0,unknown,103,242,1053,19,0,1,handgun,police issued weapon,32.65726,-97.36,86.7,9,12,921,Tarrant County,48,48439,11,rep,10,29730311
82,80237000087,Platte Canyon High School,802370,"Platte Canyon, School District No. 1, Of The County Of Park",9/27/2006,2006-2007,2006,11:40 AM,Wednesday,Bailey,Colorado,public,476,1,0,1,targeted,53,m,w,unknown,1,suicide,424,4,28,7,13,0,".40 S&W caliber Glock 22 pistol, Smith & Wesson .357-caliber revolver",unknown,39.45566,-105.64543,26.2,9,12,82,Park County,8,8093,43,dem,39,5961083
83,5.52E+11,Weston High School,5516470,Weston,9/29/2006,2006-2007,2006,8:10 AM,Friday,Cazenovia,Wisconsin,public,119,1,0,1,targeted,15,m,w,student,0,unknown,117,2,0,0,0,0,"long-barrel shotgun, 22-pistol",father,43.48211,-90.19016,10.5,9,12,35,Sauk County,55,55111,43,dem,35,5867518
84,,West Nickel Mines Amish School,,,10/2/2006,2006-2007,2006,11:07 AM,Monday,Nickel Mines,Pennsylvania,private,26,5,5,10,targeted,32,m,w,none; worked in community,1,suicide,26,0,0,0,0,0,"9mm handgun, a shotgun, a 30.06 rifle",purchased legally by shooter,39.960081,-76.084367,0,0,0,,Lancaster County,42,42071,,dem,28,12804123
85,2.92E+11,Memorial Middle School,2916350,Joplin R-VIII,10/9/2006,2006-2007,2006,7:45 AM,Monday,Joplin,Missouri,public,699,0,0,0,indiscriminate,13,m,w,student,0,unknown,591,43,49,7,9,0,MAC 90 7.26 mm assault rifle,parent,37.08277,-94.51586,50.3,6,8,312,Jasper County,29,29145,13,rep,9,6184843
86,5.31E+11,Henry Foss High School,5308700,Tacoma School District,1/3/2007,2006-2007,2007,7:30 AM,Wednesday,Tacoma,Washington,public,1749,1,0,1,targeted,18,m,unknown,student,0,unknown,692,535,139,354,29,0,handgun,unknown,47.24114,-122.49364,85.4,9,12,884,Peirce County,53,53053,12,dem,42,7887965
87,3.90E+11,Robert A. Taft Information Technology High School,3904375,Cincinnati City,1/8/2007,2006-2007,2007,10:45 AM,Monday,Cincinnati,Ohio,public,745,0,0,0,targeted,16,m,unknown,student,0,unknown,20,715,0,0,0,0,unknown,unknown,39.10911,-84.52183,46,9,12,397,Hamilton County,39,39061,11,rep,31,11714618
88,4.22E+11,William L.Sayre High School,4218990,Philadelphia City SD,1/18/2007,2006-2007,2007,8:25 AM,Thursday,Philadelphia,Pennsylvania,public,655,0,1,1,targeted,0,m,unknown,unknown,0,unknown,1,647,5,1,1,1,9 mm semi-automatic Ruger,unknown,39.95793,-75.2374,40.4,7,12,572,Philadelphia County,42,42101,11,dem,28,12804123
89,2.62E+11,Herbert Henry Dow High School,2623820,Midland Public Schools,3/7/2007,2006-2007,2007,10:57 AM,Wednesday,Midland,Michigan,public,1593,0,1,1,targeted,17,m,w,girlfriend was student,1,suicide,1475,32,26,56,4,0,.44 caliber handgun,unknown,43.64091,-84.27414,78.6,8,12,201,Midland County,26,26111,31,dem,20,9992427
90,1.71E+11,Chicago Vocational Career Academy ,1709930,City Of Chicago Sd 299,4/9/2007,2006-2007,2007,2:30 PM,Monday,Chicago,Illinois,public,2020,0,1,1,accidental,15,m,unknown,student,0,unknown,2,1993,7,0,1,0,9mm handgun,unknown,41.7372,-87.57236,105,9,12,1930,Cook County,17,17031,11,dem,29,12569321
91,4.11E+11,Springwater Trail High School,4106000,Gresham-Barlow Sd 10J,4/10/2007,2006-2007,2007,2:15 PM,Tuesday,Gresham,Oregon,public,163,0,10,10,indiscriminate,15,m,unknown,student,0,unknown,133,3,17,3,4,0,.270 Winchester rifle with scope,stepfather,45.48655,-122.40894,11.8,9,12,51,Multnomah County,41,41051,21,dem,37,4325290
92,4.83E+11,Liberty Memorial Middle School,4828290,Los Fresnos CISD,5/15/2007,2006-2007,2007,10:00 AM,Tuesday,Los Fresnos,Texas,public,505,0,0,0,indiscriminate,14,m,unknown,student,0,unknown,18,0,487,0,0,0,.38 semiautomatic handgun,father,26.1106,-97.5108,35,6,8,187,Cameron County,48,48061,41,rep,10,29730311
93,1.20E+11,George S. Middleton High School,1200870,Hillsborough,6/6/2007,2006-2007,2007,12:00 PM,Wednesday,Tampa,Florida,public,1799,0,0,0,targeted,17,m,unknown,former student,0,unknown,268,1256,202,29,4,1,.22-caliber handgun,unknown,27.99133,-82.43267,91,9,12,1091,Hillsborough County,12,12057,11,rep,30,21944577
94,3.90E+11,SuccessTech Academy,3904378,Cleveland Municipal City,10/10/2007,2007-2008,2007,1:15 PM,Wednesday,Cleveland,Ohio,public,260,0,4,4,indiscriminate,14,m,unknown,student,1,suicide,22,227,9,0,1,1,".22-caliber revolver, .38-caliber revolver",unknown,41.50762,-81.6869,14,9,12,,Cuyahoga County,39,39035,11,rep,31,11714618
95,1.30E+11,Groves High School,1301020,Chatham County,10/15/2007,2007-2008,2007,2:45 PM,Monday,Garden City,Georgia,public,1534,0,0,0,targeted,0,m,unknown,unknown,0,unknown,381,997,89,37,3,0,unknown,unknown,32.10841,-81.15661,90,9,12,799,Chatham County,13,13051,22,dem,23,10830007
96,3.70E+11,Crossroads Charter High School,3700122,Crossroads Charter High,1/16/2008,2007-2008,2008,10:15 AM,Wednesday,Charlotte,North Carolina,public,244,0,1,1,accidental,16,m,b,student,0,unknown,5,230,8,0,1,0,unknown,unknown,35.26039,-80.77591,13,9,12,,Mecklenburg County,37,37119,11,rep,32,10701022
97,4.70E+11,Hamilton High School,4702940,Memphis City School District,2/4/2008,2007-2008,2008,10:00 AM,Monday,Memphis,Tennessee,public,1581,0,1,1,targeted,16,m,unknown,student,0,unknown,4,1577,0,0,0,0,380-caliber handgun,unknown,35.10069,-90.0174,87.9,9,12,863,Shelby County,47,47157,11,rep,16,7001803
98,1059778,Notre Dame Elementary School,,,2/7/2008,2007-2008,2008,9:12 AM,Thursday,Portsmouth,Ohio,private,166,0,1,1,targeted,56,m,w,spouse of teacher,1,suicide,158,3,1,0,4,0,unknown,unknown,38.735563,-82.986607,14,PK,6,,Scioto County,39,39145,31,rep,31,11714618
99,4.70E+11,Mitchell High School,4702940,Memphis City School District,2/11/2008,2007-2008,2008,9:00 AM,Monday,Memphis,Tennessee,public,1110,0,1,1,targeted,17,m,unknown,student,0,unknown,0,1109,0,1,0,1,.22-caliber pistol,purchased from someone in apartment complex,35.05595,-90.08589,53.8,9,12,787,Shelby County,47,47157,11,rep,16,7001803
100,61785002199,E.O. Green Junior High School,617850,Hueneme Elementary,2/12/2008,2007-2008,2008,8:15 AM,Tuesday,Oxnard,California,public,1065,1,0,1,targeted,14,m,unknown,student,0,unknown,125,49,829,58,4,0,.22-caliber handgun ,relative,34.16568,-119.1814,50,6,8,775,Ventura County,6,6111,12,dem,48,39613493
101,,Friends of Children Head Start center,,,3/18/2008,2007-2008,2008,1:00 PM,Tuesday,Carthage,Mississippi,private,100,1,1,2,unclear,23,,unknown,unknown,,unknown,,,,,,0,.45-caliber handgun ,unknown,,,0,PK,PK,,Leake County,28,28079,32,rep,18,2961536
102,61455001762,Roosevelt High School,614550,Fresno Unified,4/16/2008,2007-2008,2008,11:54 AM,Wednesday,Fresno,California,public,2735,1,0,1,targeted,38,m,unknown,resource officer,0,unknown,130,112,2039,444,10,1,pistol,department issued,36.74302,-119.7537,137.6,9,12,2466,Fresno County,6,6019,11,dem,48,39613493
103,4.70E+11,Central High School,4702220,Knox County School District,8/21/2008,2008-2009,2008,8:10 AM,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15,m,unknown,student,0,unknown,872,254,55,25,4,1,"small-caliber, semiautomatic pistol",unknown,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12,rep,16,7001803
104,1.20E+11,Dillard High School,1200180,Broward,11/12/2008,2008-2009,2008,11:00 AM,Wednesday,Fort Lauderdale,Florida,public,1758,1,0,1,targeted,15,f,b,student,0,unknown,80,1576,76,6,1,1,.22-caliber semi-automatic handgun,family member,26.1383,-80.176,149.4,9,12,1193,Broward County,12,12011,12,rep,30,21944577
105,2.61E+11,Central High School,2612000,Detroit City School District,2/17/2009,2008-2009,2009,2:00 PM,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17,m,unknown,non-student,0,unknown,4,913,0,0,2,1,handgun,unknown,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11,dem,20,9992427
106,61674002125,John Muir Elementary School,616740,Hayward Unified,2/20/2009,2008-2009,2009,12:00 PM,Friday,Hayward,California,public,354,0,0,0,targeted,0,h,m,unknown,0,unknown,13,54,252,34,1,0,shotgun,unknown,37.6566,-122.083,20.4,KG,6,,Alameda County,6,6001,12,dem,48,39613493
107,1.20E+11,Ribault High School,1200480,Duval,3/10/2009,2008-2009,2009,7:22 AM,Tuesday,Jacksonville,Florida,public,1131,0,0,0,targeted,0,,unknown,unknown,0,unknown,53,1051,15,2,0,0,unknown,unknown,30.3895,-81.707,67.4,9,12,609,Duval County,12,12031,11,rep,30,21944577
108,2.20E+11,Larose-Cut Off Middle School,2200900,Lafourche Parish,5/18/2009,2008-2009,2009,9:00 AM,Monday,Larose,Louisiana,public,512,0,0,0,targeted,15,m,unknown,student,1,suicide,405,28,23,15,41,0,25-caliber nickel plate semi-automatic,father,29.5004,-90.3295,37.8,6,8,265,Lafourche Parish,22,22057,41,rep,34,4616106
109,90003101405,Stamford Academy,900031,Stamford Academy,9/8/2009,2009-2010,2009,8:05 AM,Tuesday,Stamford,Connecticut,public,131,0,0,0,targeted,16,m,unknown,student,0,unknown,7,89,33,2,0,0,.22-caliber pistol,unknown,41.059329,-73.536464,8,9,12,111,Fairfield County,9,9001,12,dem,46,3546588
110,5.10E+11,Virginia Randolph Community High School,5101890,Henrico Co Pblc Schs,9/16/2009,2009-2010,2009,12:30 PM,Wednesday,Glen Allen,Virginia,public,292,0,0,0,targeted,16,m,unknown,student,0,unknown,66,186,13,3,0,0,.40-caliber handgun ,unknown,37.661586,-77.483135,30.18,8,12,237,Henrico County,51,51087,21,dem,38,8638218
111,3.60E+11,Mattituck Junior-Senior High School,3600021,Mattituck-Cutchogue Union Free School District,10/8/2009,2009-2010,2009,2:00 PM,Thursday,Mattituck,New York,public,812,0,1,1,accidental,28,m,unknown,unknown,0,unknown,736,24,43,8,0,0,22-caliber rifle,mother,40.996241,-72.529205,68.28,7,12,86,Suffolk County,36,36103,31,dem,50,19299981
112,4.50E+11,Carolina Forest High School,4502490,Horry 01,10/16/2009,2009-2010,2009,8:25 AM,Friday,Conway,South Carolina,public,1958,1,0,1,targeted,0,m,w,school resource officer,0,unknown,1400,309,124,60,25,1,.40 caliber Glock,department issued,33.780761,-78.97152,102.5,9,12,901,Horry County,45,45051,41,rep,36,5342388
113,2.20E+11,Booker T. Washington High School,2200300,Caddo Parish,12/11/2009,2009-2010,2009,8:10 AM,Friday,Shreveport,Louisiana,public,336,0,1,1,targeted,28,m,b,ex-boyfriend of student,0,unknown,1,335,0,0,0,1,handgun,unknown,32.503605,-93.77398,34.55,9,12,278,Caddo Parish,22,22017,12,rep,34,4616106
114,10000800495,Discovery Middle School,100008,Madison City,2/5/2010,2009-2010,2010,1:45 PM,Friday,Madison,Alabama,public,1000,1,0,1,targeted,14,m,a,student,0,unknown,707,188,27,50,8,1,.22-caliber pistol,friend's home,34.740322,-86.741148,54.5,7,9,176,Madison County,1,1089,22,rep,15,4949697
115,80480001315,Deer Creek Middle School,804800,Jefferson County School District No. R-1,2/23/2010,2009-2010,2010,3:14 PM,Tuesday,Littleton,Colorado,public,516,0,2,2,indiscriminate,32,m,w,unknown,0,unknown,436,7,46,23,4,0,hunting rifle,unknown,39.5869,-105.102,28.2,7,8,60,Jefferson County,8,8059,21,dem,39,5961083
116,5.10E+11,Woodrow Wilson High School,5103000,Portsmouth City Pblc Schs,4/28/2010,2009-2010,2010,12:15 PM,Wednesday,Portsmouth,Virginia,public,1309,0,0,0,indiscriminate,15,m,b,student,0,unknown,446,818,22,19,4,0,handgun,unknown,36.815009,-76.381349,64.33,9,12,695,Portsmouth City,51,51740,12,dem,38,8638218
117,62271003364,South Gate High School,622710,Los Angeles Unified,5/18/2010,2009-2010,2010,7:51 AM,Tuesday,South Gate,California,public,3289,0,1,1,targeted,15,m,unknown,student,0,unknown,12,11,3251,3,10,0,unknown,unknown,33.954604,-118.209757,126.1,9,12,2373,Los Angeles County,6,6037,21,dem,48,39613493
118,4.70E+11,Sullivan Central High School,4703990,Sullivan County,8/30/2010,2010-2011,2010,9:10 AM,Monday,Blountville,Tennessee,public,1115,1,0,1,targeted,0,,unknown,police officer,0,unknown,1097,7,6,3,1,1,handgun,department issued,36.531336,-82.387049,67.7,9,12,386,Sullivan County,47,47163,41,rep,16,7001803
119,4.50E+11,Socastee High School,4502490,Horry 01,9/21/2010,2010-2011,2010,2:00 PM,Tuesday,Conway,South Carolina,public,1453,0,1,1,targeted,14,m,w,student,0,unknown,1143,119,98,37,1,1,revolver,parent,33.6788,-79.004328,80.8,9,12,678,Horry County,45,45051,22,rep,36,5342388
120,63398005332,Alisal High School,633980,Salinas Union High,10/1/2010,2010-2011,2010,7:53 AM,Friday,Salinas,California,public,2478,1,0,1,targeted,0,m,unknown,unknown,0,unknown,14,10,2420,28,1,0,unknown,unknown,36.686184,-121.595961,0,3,12,1869,Monterey County,6,6053,12,dem,48,39613493
121,60750000711,Kelly Elementary School,607500,Carlsbad Unified,10/8/2010,2010-2011,2010,12:00 PM,Friday,Carlsbad,California,public,477,0,2,2,indiscriminate,41,m,w,none,0,unknown,314,12,67,36,3,0,.357-caliber magnum revolver,unknown,33.14836,-117.311227,0,KG,5,45,San Diego County,6,6073,12,dem,48,39613493
122,5.51E+11,Marinette High School,5508700,Marinette School District,11/29/2010,2010-2011,2010,1:30 PM,Monday,Marinette,Wisconsin,public,690,0,0,0,hostage suicide,15,m,w,student,1,suicide,658,4,17,2,8,0,handgun,unknown,45.084351,-87.629512,44.69,9,12,283,Marinette County,55,55075,41,dem,35,5867518
123,3.17E+11,Millard South High School,3173740,Millard Public Schools,1/5/2011,2010-2011,2011,12:45 PM,Wednesday,Omaha,Nebraska,public,2043,1,2,3,targeted and indiscriminate,17,m,b,student,1,suicide,1668,79,186,32,12,0,Glock .40-caliber S&W pistol,father,41.203481,-96.146049,135.5,9,12,475,Douglas County,31,31055,11,rep,27,1960790
124,62271003034,Gardena High School,622710,Los Angeles Unified,1/18/2011,2010-2011,2011,10:40 AM,Tuesday,Los Angeles,California,public,2299,0,2,2,accidental,17,m,unknown,student,0,unknown,22,610,1490,140,9,0,9-mm Beretta handgun,unknown,33.866372,-118.29633,0,8,12,1556,Los Angeles County,6,6037,13,dem,48,39613493
125,63078004786,Louisiana Schnell Elementary School,630780,Placerville Union Elementary,2/2/2011,2010-2011,2011,10:37 AM,Wednesday,Placerville,California,public,424,1,0,1,targeted,44,m,w,janitor,0,unknown,259,2,121,3,8,0,.357-caliber revolver,legally purchased by shooter,38.735106,-120.779419,0,KG,5,264,El Dorado County,6,6017,32,dem,48,39613493
126,1.81E+11,Martinsville West Middle,1806510,M S D Martinsville Schools,3/25/2011,2010-2011,2011,7:00 AM,Friday,Martinsville,Indiana,public,584,0,1,1,targeted,15,m,w,former student (expelled),0,unknown,555,0,13,2,2,0,9mm handgun,friend's home,39.420621,-86.427053,38.97,6,8,354,Morgan County,18,18109,31,rep,22,6842385
127,1.20E+11,Sheeler Charter High School,1201440,Orange,4/13/2011,2010-2011,2011,12:00 PM,Wednesday,Apopka,Florida,public,465,0,1,1,accidental,17,m,b,unknown,0,unknown,104,250,101,2,1,1,unknown,unknown,28.673157,-81.494124,7,9,12,183,Orange County,12,12095,21,rep,30,21944577
128,4.82E+11,Ross Elementary School,4823640,Houston ISD,4/19/2011,2010-2011,2011,10:20 AM,Tuesday,Houston,Texas,public,462,0,2,2,accidental,6,m,unknown,student,0,unknown,1,301,145,2,9,0,.380-caliber semi-automatic,"mother's friend, home shooter was staying",29.800326,-95.341835,27.32,PK,5,263,Harris County,48,48201,11,rep,10,29730311
129,3.70E+11,Cape Fear High School,3700011,Cumberland County Schools,10/24/2011,2011-2012,2011,1:00 PM,Monday,Fayetteville,North Carolina,public,1575,0,1,1,targeted,15,m,unknown,student,0,unknown,913,437,83,9,71,0,.22-caliber Daisy rifle,unknown,35.034044,-78.762384,93.86,9,12,690,Cumberland County,37,37051,41,rep,32,10701022
130,4.81E+11,Cummings Middle School,4811680,Brownsville ISD,1/4/2012,2011-2012,2012,8:00 AM,Wednesday,Brownsville,Texas,public,746,1,0,1,targeted,0,m,unknown,police officer,0,unknown,3,0,742,0,1,0,unknown,department issued,25.913899,-97.493734,49.47,6,8,0,Cameron County,48,48061,12,rep,10,29730311
131,4.83E+11,North Forest High School,4833060,North Forest ISD,1/10/2012,2011-2012,2012,12:30 PM,Tuesday,Houston,Texas,public,1274,0,1,1,targeted,18,m,unknown,student,0,unknown,8,868,395,0,2,1,handgun ,unknown,29.868788,-95.26259,88.68,9,12,1271,Harris County,48,48201,11,rep,10,29730311
132,3.30E+11,Walpole Elementary School,3302990,Fall Mountain Regional School District,2/10/2012,2011-2012,2012,11:00 AM,Friday,Walpole,New Hampshire,public,149,0,0,0,public suicide (attempted),14,m,unknown,student,0,unknown,139,0,5,1,1,0,20-gauge shotgun,unknown,43.078915,-72.426439,15.3,5,8,42,Cheshire County,33,33005,42,dem,17,1378449
133,5.30E+11,Armin Jahr Elementary School,5300660,Bremerton School District,2/22/2012,2011-2012,2012,1:30 PM,Wednesday,Bremerton,Washington,public,411,0,1,1,accidental,9,m,w,student,0,unknown,193,24,69,19,5,0,.45 caliber handgun,mother,47.593761,-122.63622,25.16,KG,5,310,Kitsap County,53,53035,13,dem,42,7887965
134,3.90E+11,Chardon High School,3904718,Chardon Local,2/27/2012,2011-2012,2012,7:30 AM,Monday,Chardon,Ohio,public,1058,3,3,6,indiscriminate,17,m,w,"student at neighboring school, rode bus with some victims",0,unknown,1028,5,9,4,4,0,Ruger MK III .22 caliber semi-automatic handgun,uncle,41.591297,-81.199958,58,9,12,193,Geauga County,39,39055,31,rep,31,11714618
135,259508,Episcopal School of Jacksonville,,,3/6/2012,2011-2012,2012,1:15 PM,Tuesday,Jacksonville,Florida,private,869,1,0,1,targeted,28,m,w,fired teacher,1,suicide,753,44,25,5,3,0,AK-47 assault-style rifle,legally purchased at gun show,30.308617,-81.617917,92.8,6,12,,Duval County,12,12031,11,rep,30,21944577
136,10237000962,LeFlore High School,102370,Mobile County,3/15/2012,2011-2012,2012,10:50 AM,Thursday,Mobile,Alabama,public,921,0,0,0,targeted,16,m,b,suspended student from different campus,0,unknown,5,912,2,0,1,0,handgun,unknown,30.714209,-88.086526,56,8,12,774,Mobile County,1,1097,12,rep,15,4949697
137,3.70E+11,Mary Scroggs Elementary School,3700720,Chapel Hill-Carrboro Schools,5/25/2012,2011-2012,2012,2:00 PM,Friday,Chapel Hill,North Carolina,public,614,1,0,1,targeted,49,m,unknown,parent of students,0,unknown,325,32,106,66,1,0,Charter Arms .44 Bulldog revolver,unknown,35.879122,-79.068506,42.73,KG,5,135,Orange County,37,37135,13,rep,32,10701022
138,2.40E+11,Perry Hall High School,2400120,Baltimore County Public Schools,8/27/2012,2012-2013,2012,10:45 AM,Monday,Baltimore,Maryland,public,2209,0,1,1,indiscriminate,15,m,w,student,0,unknown,1361,508,79,213,2,1,shotgun,unknown,39.39186,-76.466091,129.6,9,12,550,Baltimore County,24,24005,21,dem,43,6075314
139,1.73E+11,Normal Community High School,1728620,Mclean County USD 5,9/7/2012,2012-2013,2012,8:00 AM,Friday,Normal,Illinois,public,1895,0,0,0,indiscriminate,14,m,w,student,0,unknown,1314,196,145,124,8,0,.22-caliber Ruger pistol,unknown,40.533285,-88.914486,164,9,12,409,Mclean County,17,17113,41,dem,29,12569321
140,90291000617,Sandy Hook Elementary School,902910,Newtown School District,12/14/2012,2012-2013,2012,9:35 AM,Friday,Newtown,Connecticut,public,454,26,2,28,indiscriminate,20,m,w,former student,1,suicide,389,15,22,23,0,0,Bushmaster XM15-E2S rifle,mother,41.41978,-73.277751,35.76,KG,4,23,Fairfield County,9,9001,22,dem,46,3546588
141,A0300763,Apostolic Revival Center and Christian School,,,1/7/2013,2012-2013,2013,11:00 AM,Monday,Fort Myers,Florida,private,22,1,0,1,targeted,0,,unknown,unknown,0,unknown,0,22,0,0,0,0,unknown,unknown,26.64062,-81.834212,3,PK,7,,Lee County,12,12071,13,rep,30,21944577
142,63873006511,Taft Union High School,638730,Taft Union High,1/10/2013,2012-2013,2013,9:00 AM,Thursday,Taft,California,public,939,0,2,2,targeted,16,m,w,student,0,unknown,487,9,384,6,22,0,12-gauge shotgun,older brother,35.146256,-119.460383,62.89,9,12,502,Kern County,6,6029,32,dem,48,39613493
143,1.30E+11,Price Middle School,1300120,Atlanta Public Schools,1/31/2013,2012-2013,2013,1:50 PM,Thursday,Atlanta,Georgia,public,403,0,1,1,targeted,15,m,unknown,student,0,unknown,0,380,20,0,0,1,small-caliber handgun,unknown,33.708772,-84.387442,36,6,8,384,Fulton County,13,13121,11,dem,23,10830007
144,1056711,La Salle High School,,,4/29/2013,2012-2013,2013,8:00 AM,Monday,Cincinnati ,Ohio,private,708,0,0,0,public suicide,17,m,unknown,student ,0,unknown,613,71,4,3,0,0,.45-caliber semi-automatic handgun,family member,39.189162,-84.586704,40.1,9,12,,Hamilton County,39,39061,21,rep,31,11714618
145,1.20E+11,Redland Middle School,1200390,Dade,5/23/2013,2012-2013,2013,unknown,Thursday,Homestead,Florida,public,493,0,1,1,accidental,11,m,unknown,student,0,unknown,44,185,257,3,0,0,.38 caliber handgun,unknown,25.5369,-80.453001,30,6,8,448,Miami-Dade County,12,12086,41,rep,30,21944577
146,1.30E+11,Ronald E. McNair Discovery Learning Academy,1301740,Dekalb County,8/20/2013,2013-2014,2013,12:51 PM,Tuesday,Decatur,Georgia,public,822,0,0,0,targeted and indiscriminate,20,m,w,none apparent,0,unknown,9,786,23,0,0,0,".762-caliber AK-47-style weapon, manufactured by Romarm/Cugar",acquaintence of shooter,33.7273,-84.3068,47.8,PK,5,810,Dekalb County,13,13089,21,dem,23,10830007
147,3.70E+11,Carver High School,3701500,Winston Salem/Forsyth County Schools,8/30/2013,2013-2014,2013,2:25 PM,Friday,Winston-Salem,North Carolina,public,565,0,1,1,targeted,18,m,b,student,0,unknown,23,411,96,4,2,1,.38 caliber handgun,unknown,36.1343,-80.2066,43.01,9,12,502,Forsyth County,37,37067,12,rep,32,10701022
148,A0300751,Agape Christian Academy,,,10/4/2013,2013-2014,2013,2:00 PM,Friday,Pine Hills,Florida,private,331,0,2,2,targeted,0,,unknown,none,0,unknown,3,259,4,0,0,0,unknown,unknown,28.57586,-81.475051,22,KG,12,,Orange County,12,12095,21,rep,30,21944577
149,4.81E+11,Lanier High School,4808940,Austin ISD,10/15/2013,2013-2014,2013,12:04 PM,Tuesday,Austin,Texas,public,1554,0,0,0,public suicide,16, m,h,student ,1,suicide,61,138,1273,51,15,1,handgun,unknown,30.3606,-97.708,108.34,9,12,613,Travis County,48,48453,11,rep,10,29730311
150,3.20E+11,Sparks Middle School,3200480,Washoe County School District,10/21/2013,2013-2014,2013,7:15 AM,Monday,Sparks,Nevada,public,721,1,2,3,indiscriminate,12,m,h,student,1,suicide,146,13,501,26,4,0,Ruger SR9C semi-automatic handgun (9mm),father,39.5517,-119.7694,35,7,8,538,Washoe County,32,32031,21,dem,19,3238601
151,60846000845,Newman Elementary School,608460,Chino Valley Unified,10/23/2013,2013-2014,2013,11:14 AM,Wednesday,Chino,California,public,745,0,3,3,accidental,0,m,unknown,unknown,0,unknown,75,17,627,21,0,1,AR-15,police weapon,34.0271,-117.7144,25.5,KG,6,543,San Bernardino County,6,6071,13,dem,48,39613493
152,1.20E+11,West Orange High School,1201440,Orange,12/4/2013,2013-2014,2013,1:15 PM,Wednesday,Winter Garden,Florida,public,3749,0,1,1,targeted,17,m,b,student,0,unknown,1927,594,898,211,28,1,unknown,unknown,28.5428,-81.5673,158,9,12,1255,Orange County,12,12095,21,rep,30,21944577
153,80531000873,Arapahoe High School,805310,"Littleton, School District No. 6, In The County Of Arapahoe",12/13/2013,2013-2014,2013,12:30 PM,Friday,Centennial,Colorado,public,2273,1,0,1,targeted,18,m,w,student,1,suicide,1879,26,225,57,9,1,Savage Arms Stevens Model 320 pump-action shotgun,legally purchased by shooter at Cabela's,39.5817,-104.9628,98.96,9,12,200,Arapahoe County,8,8005,21,dem,39,5961083
154,4.70E+11,Liberty Technology Magnet High School,4702580,Madison County,1/9/2014,2013-2014,2014,2:21 PM,Thursday,Jackson,Tennessee,public,802,0,1,1,targeted,16,m,b,student,0,unknown,275,503,15,2,2,0,handgun,unknown,35.675,-88.7593,60.3,9,12,561,Madison County,47,47113,41,rep,16,7001803
155,3.50E+11,Berrendo Middle School,3502250,Roswell Independent Schools,1/14/2014,2013-2014,2014,7:30 AM,Tuesday,Roswell,New Mexico,public,632,0,3,3,targeted,12,m,w,student,0,unknown,311,6,302,9,1,1,shotgun,unknown,33.4736,-104.5115,36.5,6,8,365,Chaves County,35,35005,41,dem,21,2109093
156,4.21E+11,King Elementary School,4213140,Lancaster SD,1/15/2014,2013-2014,2014,2:48 PM,Wednesday,Lancaster,Pennsylvania,public,540,0,0,0,unclear,0,,unknown,unknown,0,unknown,20,69,425,7,0,1,handgun,unknown,40.0344,-76.2998,40.2,PK,5,498,Lancaster County,42,42071,13,dem,28,12804123
157,4.20E+11,Delaware Valley Charter School,4200078,Delaware Valley CHS,1/17/2014,2013-2014,2014,3:20 PM,Friday,Philadelphia,Pennsylvania,public,680,0,2,2,accidental or targeted,17,m,b,student,0,unknown,0,675,5,0,0,1,handgun,purchased from friend,40.0331,-75.1446,42,9,12,512,Philadelphia County,42,42101,11,dem,28,12804123
158,,Rebound High School,1708370,Carbondale CHSD 165,1/27/2014,2013-2014,2014,12:00 PM,Monday,Carbondale,Illinois,public,100,0,1,1,targeted,18,m,b,student,0,unknown,,,,,,0,handgun,unknown,37.727439,-89.227812,0,9,12,,Jackson County,17,17077,13,dem,29,12569321
159,1.50E+11,President Theodore Roosevelt High,1500030,Hawaii Department Of Education,1/28/2014,2013-2014,2014,8:30 AM,Tuesday,Honolulu,Hawaii,public,1416,0,1,1,targeted,0,,unknown,police officer,0,unknown,72,17,36,846,6,0,unknown,department issued,21.3104,-157.8372,77,9,12,588,Honolulu County,15,15003,11,dem,45,1401709
160,4.10E+11,Bend High School,4101980,Bend-Lapine Administrative SD 1,2/7/2014,2013-2014,2014,12:00 PM,Friday,Bend,Oregon,public,1642,0,0,0,public suicide,17,m,unknown,student ,1,suicide,1368,21,180,25,23,0,hunting rifle,legally owned by shooter,44.0523,-121.2959,62.77,9,12,1368,Deschutes County,41,41017,13,dem,37,4325290
